,Draft_Yr,Pk,Team,Player,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP
112,1976,113.0,LAL,Tommie Lipsey,"University of California, Los Angeles",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,1976,114.0,HOU,Barry Davis,Texas A&M University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,1976,115.0,PHO,Brad Warble,Eastern Illinois University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1976,116.0,SEA,Mark Klein,Malone College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,1976,117.0,PHI,Phil Walker,Millersville University of Pennsylvania,1.0,40.0,384.0,178.0,52.0,54.0,0.354,0.0,0.667,9.6,4.5,1.3,1.4,-0.4,-0.045,-6.0,-0.4
117,1976,118.0,BUF,Frank Jones,Tennessee Technological University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,1976,119.0,WSB,Ralph Vallott,Loyola University of Chicago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1976,120.0,CLE,Johnny Britt,Western Kentucky University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,1976,121.0,BOS,Ralph Drollinger,"University of California, Los Angeles",1.0,6.0,67.0,15.0,19.0,14.0,0.5,0.0,0.25,11.2,2.5,3.2,2.3,-0.2,-0.117,-6.4,-0.1
121,1976,122.0,GSW,Jesse Campbell,Mercyhurst College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,1976,123.0,CLE,Dale Koehler,University of Wisconsin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,1976,124.0,ATL,Doug Terry,University of Utah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,1976,125.0,KCK,Mike Davis,Bradley University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
