,Player,All_NBA,All-Star,Draft_Yr,Pk,Team,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP,Executive,Tenure
194,Harold Jensen,0.0,0.0,1987.0,121.0,CLE,Villanova University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wayne Embry,4730 days 00:00:00.000000000
195,Michael Foster,0.0,0.0,1987.0,144.0,CLE,University of South Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wayne Embry,4730 days 00:00:00.000000000
196,LaMarcus Aldridge,4.0,5.0,2006.0,2.0,CHI,University of Texas at Austin,10.0,722.0,25233.0,13893.0,6066.0,1371.0,0.487,0.257,0.802,34.9,19.2,8.4,1.9,79.5,0.151,1.2,20.7,John Paxson,2229 days 00:00:00.000000000
197,Rodney Carney,0.0,0.0,2006.0,16.0,CHI,University of Memphis,5.0,299.0,4600.0,1778.0,588.0,132.0,0.422,0.338,0.704,15.4,5.9,2.0,0.4,6.2,0.064,-2.7,-0.8,John Paxson,2229 days 00:00:00.000000000
198,Blake Griffin,4.0,5.0,2009.0,1.0,LAC,University of Oklahoma,6.0,410.0,14491.0,8801.0,3927.0,1654.0,0.521,0.271,0.661,35.3,21.5,9.6,4.0,54.7,0.181,4.1,22.2,Mike Dunleavy,518 days 00:00:00.000000000
199,Chris Mullin,4.0,5.0,1985.0,7.0,GSW,St. John's University,16.0,986.0,32163.0,17911.0,4034.0,3450.0,0.509,0.384,0.865,32.6,18.2,4.1,3.5,93.1,0.139,2.8,38.7,Al Attles,3641 days 00:00:00.000000000
200,Bobby Lee Hurt,0.0,0.0,1985.0,42.0,GSW,University of Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al Attles,3641 days 00:00:00.000000000
201,Brad Wright,0.0,0.0,1985.0,49.0,GSW,"University of California, Los Angeles",2.0,16.0,145.0,54.0,54.0,1.0,0.412,0.0,0.429,9.1,3.4,3.4,0.1,-0.1,-0.045,-10.3,-0.3,Al Attles,3641 days 00:00:00.000000000
202,Luster Goodwin,0.0,0.0,1985.0,71.0,GSW,University of Texas at El Paso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al Attles,3641 days 00:00:00.000000000
203,Greg Cavener,0.0,0.0,1985.0,95.0,GSW,University of Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al Attles,3641 days 00:00:00.000000000
204,Gerald Crosby,0.0,0.0,1985.0,117.0,GSW,University of Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al Attles,3641 days 00:00:00.000000000
205,Eric Boyd,0.0,0.0,1985.0,141.0,GSW,North Carolina Agricultural and Technical State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al Attles,3641 days 00:00:00.000000000
206,Mark Price,4.0,4.0,1986.0,25.0,DAL,Georgia Institute of Technology,12.0,722.0,21560.0,10989.0,1848.0,4863.0,0.472,0.402,0.904,29.9,15.2,2.6,6.7,71.1,0.158,2.2,22.7,Norm Sonju,5859 days 00:00:00.000000000
207,Roy Tarpley,0.0,0.0,1986.0,7.0,DAL,University of Michigan,6.0,280.0,7476.0,3533.0,2803.0,292.0,0.483,0.176,0.744,26.7,12.6,10.0,1.0,19.8,0.127,0.2,4.2,Norm Sonju,5859 days 00:00:00.000000000
208,Milt Wagner,0.0,0.0,1986.0,35.0,DAL,University of Louisville,2.0,53.0,496.0,215.0,35.0,76.0,0.422,0.296,0.875,9.4,4.1,0.7,1.4,0.4,0.039,-6.3,-0.5,Norm Sonju,5859 days 00:00:00.000000000
209,Anthony Welch,0.0,0.0,1986.0,62.0,DAL,University of Illinois at Urbana-Champaign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Norm Sonju,5859 days 00:00:00.000000000
210,Myron Jackson,0.0,0.0,1986.0,85.0,DAL,University of Arkansas at Little Rock,1.0,8.0,22.0,11.0,3.0,6.0,0.222,0.0,0.875,2.8,1.4,0.4,0.8,0.0,-0.104,-8.3,0.0,Norm Sonju,5859 days 00:00:00.000000000
211,Jay Bilas,0.0,0.0,1986.0,108.0,DAL,Duke University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Norm Sonju,5859 days 00:00:00.000000000
212,Greg Anderson,0.0,0.0,1986.0,131.0,DAL,Lamar University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Norm Sonju,5859 days 00:00:00.000000000
213,Kim Cooksey,0.0,0.0,1986.0,154.0,DAL,Middle Tennessee State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Norm Sonju,5859 days 00:00:00.000000000
214,Tony Parker,4.0,6.0,2001.0,28.0,SAS,0,15.0,1080.0,34618.0,17884.0,3105.0,6349.0,0.494,0.327,0.753,32.1,16.6,2.9,5.9,105.9,0.147,1.1,27.5,Gregg Popovich,2953 days 00:00:00.000000000
215,Robertas Javtokas,0.0,0.0,2001.0,55.0,SAS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gregg Popovich,2953 days 00:00:00.000000000
216,Bryan Bracey,0.0,0.0,2001.0,57.0,SAS,University of Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gregg Popovich,2953 days 00:00:00.000000000
217,Bernard King,4.0,4.0,1977.0,7.0,NJN,University of Tennessee,14.0,874.0,29417.0,19655.0,5060.0,2863.0,0.518,0.172,0.73,33.7,22.5,5.8,3.3,75.4,0.123,1.7,27.5,Roy Boe,1034 days 00:00:00.000000000
218,Ralph Drollinger,0.0,0.0,1977.0,152.0,NJN,"University of California, Los Angeles",1.0,6.0,67.0,15.0,19.0,14.0,0.5,0.0,0.25,11.2,2.5,3.2,2.3,-0.2,-0.117,-6.4,-0.1,Roy Boe,1034 days 00:00:00.000000000
219,Bob Elmore,0.0,0.0,1977.0,67.0,NJN,Wichita State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roy Boe,1034 days 00:00:00.000000000
220,Gerald Cunningham,0.0,0.0,1977.0,89.0,NJN,Kentucky State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roy Boe,1034 days 00:00:00.000000000
221,Mark Crow,0.0,0.0,1977.0,111.0,NJN,Duke University,1.0,15.0,154.0,84.0,27.0,8.0,0.438,0.0,0.7,10.3,5.6,1.8,0.5,0.2,0.051,-4.4,-0.1,Roy Boe,1034 days 00:00:00.000000000
222,Scott Conant,0.0,0.0,1977.0,132.0,NJN,Newberry College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roy Boe,1034 days 00:00:00.000000000
223,Pau Gasol,4.0,6.0,2001.0,3.0,ATL,0,15.0,1055.0,37202.0,19209.0,10048.0,3485.0,0.51,0.297,0.755,35.3,18.2,9.5,3.3,130.6,0.168,3.5,51.8,Pete Babcock,4795 days 00:00:00.000000000
224,Terence Morris,0.0,0.0,2001.0,33.0,ATL,University of Maryland,3.0,139.0,1934.0,472.0,377.0,93.0,0.407,0.196,0.711,13.9,3.4,2.7,0.7,1.0,0.025,-3.6,-0.8,Pete Babcock,4795 days 00:00:00.000000000
225,Paul Pierce,4.0,10.0,1998.0,10.0,BOS,University of Kansas,18.0,1318.0,45603.0,26316.0,7479.0,4698.0,0.445,0.369,0.807,34.6,20.0,5.7,3.6,149.9,0.158,3.4,61.7,Rick Pitino,1343 days 00:00:00.000000000
